usuario,deck,skill,ndmax,zerotg,zephra,bryan,xenoblur,yamiglen,rax
1839,Orcust,Tumbas Selladas,2023-06-04,1,0,0,0,0,0
0410,Orcust,Cambios,2023-06-04,1,0,0,0,0,0
6110,Odd-Eyes,Péndulo Rabioso,2023-06-04,1,0,0,0,0,0
5852,Block Dragon,Mundo Sonriente,2023-06-04,1,1,0,0,0,0
2475,Orcust,Cambios,2023-06-04,0,1,1,0,0,0
1082,Orcust,Cambios,2023-06-04,0,1,0,0,0,0
5887,Solfachord,Péndulos Unidos,2023-06-04,0,1,0,0,0,0
5779,Red-Eyes,Ruleta de Ojos Rojos,2023-06-04,0,1,1,0,1,0
3087,Orcust,Cambios,2023-06-04,0,1,0,0,0,0
8820,Orcust,Robar sentido Máquina,2023-06-04,0,1,0,0,1,0
0771,Orcust,Cambios,2023-06-04,0,1,0,0,0,0
4476,Rokket,Lanzamiento Borre,2023-06-04,0,1,0,0,0,0
3329,Odd-Eyes,Péndulo Rabioso,2023-06-04,0,1,1,0,1,0
6045,Speedroid,Aceleración ala Transparente,2023-06-04,0,1,0,0,0,0
2089,Fossil,Agujero de Gólem,2023-06-04,0,1,0,0,0,0
1048,Gimmick Puppet,Marioneta Trucada Sustitución,2023-06-04,0,1,0,1,0,0
0088,Orcust,Cambios,2023-06-04,0,1,1,0,0,0
1762,D/D/D,El Mando del Rey de la Perdición,2023-06-04,0,1,0,0,0,0
4587,Railway,Tren Imparable,2023-06-04,0,0,1,0,0,0
0382,Resonators,Alma Rugiente,2023-06-04,0,0,1,0,1,0
8252,Odd-Eyes,Péndulo Rabioso,2023-06-04,0,0,1,0,0,0
7373,Odd-Eyes,Péndulo Rabioso,2023-06-04,0,0,1,0,0,0
2303,Kozmo,Aumento de LP alfa,2023-06-04,0,0,1,0,0,0
8964,Crystrons,Constructor de Laberinto,2023-06-04,0,0,1,0,0,0
3842,Odd-Eyes,Péndulo Rabioso,2023-06-04,0,0,1,0,0,0
8309,Odd-Eyes,Péndulo Rabioso,2023-06-04,0,0,1,0,0,0
2338,Elemental Heros,Maestro de Fusión,2023-06-04,0,0,1,0,0,0
3570,Orcust,Cambios,2023-06-04,0,0,1,1,0,1
7976,Fish Shark,El alzamiento de Shark,2023-06-04,0,0,1,0,0,0
2857,Odd-Eyes,Péndulo Rabioso,2023-06-04,0,0,1,0,0,0
4338,Gouki,El Evento Principal Gouki,2023-06-04,0,0,1,0,0,0
7244,Odd-Eyes,Péndulo Rabioso,2023-06-04,0,0,1,0,0,0
2518,Rokket,Lanzamiento Borre,2023-06-04,0,0,0,1,0,0
8307,Odd-Eyes,Péndulo Rabioso,2023-06-04,0,0,0,1,0,0
1437,Orcust,Luz Majestuosa,2023-06-04,1,1,0,1,0,1
3755,Burning Abyss,Mente de la Plana,2023-06-05,1,0,1,0,1,0
2401,Odd-Eyes,Péndulo Rabioso,2023-06-05,1,0,0,0,0,0
9885,Crusadia,Maestro de Rituales II,2023-06-05,1,1,0,0,0,0
7437,Orcust,Cambios,2023-06-05,1,0,1,1,0,1
3621,Speedroid,Aceleración ala Transparente,2023-06-05,1,1,1,1,0,1
4536,Heros,Maestro de Fusión,2023-06-05,1,0,0,1,0,0
4059,Odd-Eyes,Péndulo Rabioso,2023-06-05,1,0,1,1,0,0
8713,Odd-Eyes,Péndulo Rabioso,2023-06-05,1,0,0,0,0,0
8834,Resonators,Alma Rugiente,2023-06-05,0,1,1,1,0,0
3119,Salamangreat,Tumbas Selladas,2023-06-05,0,1,1,0,0,0
4691,Speedroid,Aceleración ala Transparente,2023-06-05,0,1,0,0,0,0
4135,S-Force,Cambios,2023-06-05,0,1,0,0,0,0
9516,Speedroid,Aceleración ala Transparente,2023-06-05,0,1,0,0,0,0
6631,D/D/D,El Mando del Rey de la Perdición,2023-06-05,0,1,1,1,0,0
1174,Orcust,Robar sentido Tierra,2023-06-05,0,1,0,0,0,0
8264,Speedroid,Aceleración ala Transparente,2023-06-05,0,0,1,1,0,0
8614,Odd-Eyes,Péndulo Rabioso,2023-06-05,0,0,1,0,0,0
3005,Orcust,Cambios,2023-06-05,0,0,1,0,0,0
2533,Onomat,Eliminación Revestida,2023-06-05,0,0,1,0,0,0
7291,Odd-Eyes,Péndulo Rabioso,2023-06-05,0,0,1,0,0,0
8021,Gouki,El Evento Principal Gouki,2023-06-05,0,0,1,0,0,0
9524,Odd-Eyes,Péndulo Rabioso,2023-06-05,0,0,1,0,0,0
5388,Orcust,Cambios,2023-06-05,0,0,1,0,0,0
4977,Odd-Eyes,Péndulo Rabioso,2023-06-05,0,0,1,0,0,0
4016,Speedroid,Aceleración ala Transparente,2023-06-05,0,0,1,0,0,0
4379,Odd-Eyes,Péndulo Rabioso,2023-06-05,0,0,1,0,0,0
4730,Solfachord,Péndulos Unidos,2023-06-05,0,0,1,0,0,0
6586,Chronomaly,Portal de Otra Dimensión,2023-06-05,0,0,1,0,0,0
9931,Odd-Eyes,Péndulo Rabioso,2023-06-05,0,0,1,0,0,0
2594,Railway,Tren Imparable,2023-06-05,0,0,1,0,0,0
5814,Rose Dragon,Conjuro de Rosas,2023-06-05,0,0,0,1,1,0
4967,S-Force,Cambios,2023-06-05,1,1,1,1,1,1
2432,Rokket,Lanzamiento Borre,2023-06-06,0,1,1,1,1,0
2687,Galaxy-Eyes,Galaxia XYZ,2023-06-06,1,1,1,0,1,1
7262,S-Force,Aumento de LP alfa,2023-06-05,0,0,0,1,0,0
1113,Speedroid,Aceleración ala Transparente,2023-06-05,0,0,0,1,0,0
8291,Odd-Eyes,Péndulo Rabioso,2023-06-05,0,0,0,1,0,0
2555,Gouki,El Evento Principal Gouki,2023-06-05,0,0,0,1,0,0
9163,Rokket,Lanzamiento Borre,2023-06-05,0,0,0,0,0,1
7709,Synchrons,Camino de la Estrella Fugaz,2023-06-05,0,0,0,0,0,1
9073,Yosenjus,Robo del Destino,2023-06-05,0,1,0,0,0,1
4595,Rokket,Lanzamiento Borre,2023-06-05,0,0,0,0,0,1
2043,Resonators,Alma Rugiente,2023-06-06,1,1,0,0,0,0
2805,Speedroid,Aceleración ala Transparente,2023-06-06,1,0,0,0,0,0
8520,Odd-Eyes,Péndulo Rabioso,2023-06-06,1,0,0,0,0,0
6308,Orcust,Cambios,2023-06-06,1,0,0,0,0,0
7821,Speedroid,Aceleración ala Transparente,2023-06-06,1,1,0,0,0,0
8671,Odd-Eyes,Péndulo Rabioso,2023-06-06,1,0,1,1,0,0
3367,Trickstar,Tres Efectos,2023-06-06,1,1,0,0,0,0
9451,Odd-Eyes,Péndulo Rabioso,2023-06-06,1,0,0,0,0,0
9509,Odd-Eyes,Péndulo Rabioso,2023-06-06,1,0,0,0,0,0
9473,Crusadia,Mecanismos Medievales,2023-06-06,1,0,0,0,0,0
3735,Madolche,Lanzaconjuros,2023-06-06,1,0,1,0,0,0
7874,Madolche,Lanzaconjuros,2023-06-06,1,0,0,0,0,0
8026,Orcust,Tumbas Selladas,2023-06-06,1,0,0,0,0,0
3913,Solfachord,Péndulos Unidos,2023-06-06,1,1,1,0,1,0
4537,Rokket,Lanzamiento Borre,2023-06-06,1,0,0,0,0,0
1277,Speedroid,Aceleración ala Transparente,2023-06-06,0,1,0,0,0,0
2578,Orcust,Cambios,2023-06-06,0,1,1,1,0,0
